FTTB-Account (WoWi): Accountname  ↑,Cluster  ↓,Ausbauzustand,Postleitzahl,Adresse,Private Wohneinheiten (U),Private Wohneinheiten (S),Private Wohneinheiten (O),Gewerbeeinheiten (U),Gewerbeeinheiten (O),Gewerbeeinheiten (S),FTTB-Opportunity (WoWi),Cluster Name,Bezirk,Quartier
Robert Werner Hausverwaltungen e. K.,V_Polygon 80.1,,10559,Stephanstraße 10,20,24,24,2,0,,Robert Werner Hausverwaltungen e. K. - V_Polygon 80.1 - 24 (A1) - verloren,V_Polygon 80.1,Mitte,Moabit
Robert Werner Hausverwaltungen e. K.,V_Polygon 22.8,ABZ IV,14197,Nauheimer Straße 28,9,10,8,1,0,,Robert Werner Hausverwaltungen e. K. - Cluster 22 - verloren,V_Polygon 22.8,Charlottenburg-Wilmersdorf,Wilmersdorf
Robert Werner Hausverwaltungen e. K.,V_Polygon 22.8,ABZ IV,14197,Binger Straße 8,11,9,11,0,0,,Robert Werner Hausverwaltungen e. K. - Cluster 22 - verloren,V_Polygon 22.8,Charlottenburg-Wilmersdorf,Wilmersdorf
Rothe Hans-Peter Rechtsanwalt,V_Polygon 91.2,,13353,Triftstraße 54,32,36,,4,,,Rothe Hans-Peter Rechtsanwalt - V_Polygon 91.2 (A1) - verloren,V_Polygon 91.2,Mitte,Wedding
Rothe Hans-Peter Rechtsanwalt,V_Polygon 6.1-3 (Ausdehnung),,14057,Suarezstraße 2,19,17,,1,,3,Rothe Hans-Peter Rechtsanwalt - V_Polygon 6.1 - 17 (S1) - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
Rothe Hans-Peter Rechtsanwalt,V_Polygon 139.3,,12043,Donaustraße 100,32,44,43,1,2,2,Rothe Hans-Peter Rechtsanwalt - V_Polygon 139.3 - verloren,V_Polygon 139.3,Neukölln,Neukölln
Rothe Hans-Peter Rechtsanwalt,Polygon 6.0,,14057,Friedbergstraße 39,18,22,,3,,,Rothe Hans-Peter Rechtsanwalt - V_Polygon 6.2 (A1) - verloren,Polygon 6.0,Charlottenburg-Wilmersdorf,Charlottenburg
Rothe Hans-Peter Rechtsanwalt,Polygon 6.0,,14057,Holtzendorffstraße 1,17,12,,3,,,Rothe Hans-Peter Rechtsanwalt - V_Polygon 6.2 (A1) - verloren,Polygon 6.0,Charlottenburg-Wilmersdorf,Charlottenburg
Rothe Hans-Peter Rechtsanwalt,Polygon 6.0,,14057,Witzlebenstraße 21A,15,11,,1,,,Rothe Hans-Peter Rechtsanwalt - V_Polygon 6.2 (A1) - verloren,Polygon 6.0,Charlottenburg-Wilmersdorf,Charlottenburg
Rothe Hans-Peter Rechtsanwalt,Cluster 22,,12159,Ortrudstraße 7,7,14,14,0,0,,Rothe Hans-Peter Rechtsanwalt - Cluster 22 - 14 (A1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
Rüdiger Mahnke Hausverwaltung,Cluster 05,,10713,Mannheimer Straße 6,2,,2,0,0,,Rüdiger Mahnke HV  - Cluster 05 - verloren,Cluster 05,Charlottenburg-Wilmersdorf,Wilmersdorf
Runge & Popp GmbH,Cluster 83,ABZ III,10625,Schillerstraße 95,26,23,,3,,,Runge & Popp GmbH - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
S 60 Haus & Verwaltung,Polygon 6.0,,14057,Suarezstraße 60,20,15,15,0,,,S 60 Haus & Verwaltung - V_Polygon 6.1 (A1) - verloren,Polygon 6.0,Charlottenburg-Wilmersdorf,Charlottenburg
S 60 Haus & Verwaltung,Cluster 83,ABZ III,10587,Wintersteinstraße 10,13,15,9,0,,,S 60 Haus & Verwaltung - Cluster 83 (N1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
S 60 Haus & Verwaltung,Cluster 83,ABZ III,10587,Wintersteinstraße 8,12,15,10,0,,,S 60 Haus & Verwaltung - Cluster 83 (N1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
S 60 Haus & Verwaltung,Cluster 83,ABZ V,10587,Wintersteinstraße 6,4,,0,0,0,,S 60 Haus & Verwaltung - Cluster 83 (N1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Sabine Schäfer Hausverwaltung GmbH,V_Polygon 80.2,,10551,Waldenserstraße 15,18,30,,0,,,Sabine Schäfer Hausverwaltung GmbH - V_Polygon 80.2 (A1) - verloren,V_Polygon 80.2,Mitte,Moabit
Sabine Schäfer Hausverwaltung GmbH,V_Polygon 75.3 (Vorvermarktung abgebrochen),,10115,Linienstraße 158,24,24,,2,,2,Sabine Schäfer Hausverwaltung GmbH - V_Polygon 75.3 (A1) - 24 - verloren,V_Polygon 75.3 (Vorvermarktung abgebrochen),Mitte,Mitte
Sabine Schäfer Hausverwaltung GmbH,Polygon 6.0,,14057,Lietzenseeufer 7,25,10,,3,,,Sabine Schäfer Hausverwaltung GmbH - V_POLYGON 6.1 - 10 - (S1) - verloren,Polygon 6.0,Charlottenburg-Wilmersdorf,Charlottenburg
Sabine Schäfer Hausverwaltung GmbH,Cluster 64,,12161,Goßlerstraße 27,11,11,,0,,,Sabine Schäfer Hausverwaltung GmbH - Cluster 64 - verloren,Cluster 64,Tempelhof-Schöneberg,Friedenau
Sabine Schäfer Hausverwaltung GmbH,Cluster 64,,12161,Goßlerstraße 26A,8,15,,0,,,Sabine Schäfer Hausverwaltung GmbH - Cluster 64 - verloren,Cluster 64,Tempelhof-Schöneberg,Friedenau
Sabine Schäfer Hausverwaltung GmbH,Cluster 64,,12161,Goßlerstraße 26,7,15,,0,,,Sabine Schäfer Hausverwaltung GmbH - Cluster 64 - verloren,Cluster 64,Tempelhof-Schöneberg,Friedenau
Sabine Schäfer Hausverwaltung GmbH,Cluster 03,ABZ III,10629,Sybelstraße 66,24,24,,1,,0,Sabine Schäfer Hausverwaltung GmbH - Cluster 03 - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Charlottenburg
Sadek Immobilien UG,Cluster 83,ABZ III,10587,Lohmeyerstraße 15,25,22,,0,,,Sadek Immobilien UG - Cluster 83.123 - (N1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Sadek Immobilien UG,Cluster 21,,14193,Warmbrunner Straße 45,0,5,,0,,1,Sadek Immobilien UG - Cluster 21 - 25 - verloren,Cluster 21,Charlottenburg-Wilmersdorf,Schmargendorf
Sadek Immobilien UG,Cluster 21,,14193,Warmbrunner Straße 43,0,5,,0,,,Sadek Immobilien UG - Cluster 21 - 25 - verloren,Cluster 21,Charlottenburg-Wilmersdorf,Schmargendorf
Sadek Immobilien UG,Cluster 21,,14199,Hohenzollerndamm 61,0,14,,0,,,Sadek Immobilien UG - Cluster 21 - 14 - verloren,Cluster 21,Charlottenburg-Wilmersdorf,Schmargendorf
Sahin Immobilien und Hausverwaltung,V_Polygon 139.4,,12049,Hermannstraße 10,19,12,,3,,2,Sahin Immobilien und Hausverwaltung  - V_Polygon 139.4 (S1) - verloren,V_Polygon 139.4,Neukölln,Neukölln
Sahle Baubetreuungsgesellschaft mbH,V_Polygon 139.1-5 (Ausdehnung),,12059,Kiehlufer 41,20,20,20,0,,,Sahle Wohnen Kundencenter Potsdam - V_Polygon 139.1 - 20 (A1) - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
Sascha Pohlmann Hausverwaltung,V_Polygon 2.2,ABZ III,10715,Badensche Straße 13,18,21,,0,,,SASCHA POHLMANN HAUSVERWALTUNG - Cluster 02 - WEG - verloren,V_Polygon 2.2,Charlottenburg-Wilmersdorf,Wilmersdorf
SCHIK Finanzdienstleistungen & Hausverwaltung,V_Polygon 139.4,,12049,Weisestraße 48,19,15,15,0,0,,SCHIK Finanzdienstleistungen & Hausverwaltung - V_Polygon 139.4 - 15 (A1) - verloren,V_Polygon 139.4,Neukölln,Neukölln
Schmarge 32 Hausverwaltung e. K.,Cluster 64,,12159,Schmargendorfer Straße 32,5,6,,3,,4,Schmarge 32 Hausverwaltung e. K. - Cluster 64 - verloren,Cluster 64,Tempelhof-Schöneberg,Friedenau
Schmidt Hausverwaltungen,Cluster 22,,12161,Bundesallee 133,9,11,,8,,3,Schmidt Hausverwaltungen - Cluster 22 - 27 (A1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
SCHNEIDER Grundbesitz GmbH & Co.KG,V_Polygon 75.1 (Vorvermarktung abgebrochen),,10115,Tieckstraße 16,18,20,18,1,2,,SCHNEIDER Grundbesitz GmbH & Co.KG - V_Polygon 75.1 - 20 (A1) - verloren,V_Polygon 75.1 (Vorvermarktung abgebrochen),Mitte,Mitte
SCHNEIDER Grundbesitz GmbH & Co.KG,V_Polygon 70.2 (Vorvermarktung abgebrochen),,10405,Greifswalder Straße 47,15,,15,2,2,,SCHNEIDER Grundbesitz GmbH & Co.KG - V_Polygon 70.2 - 71 (A1) - verloren,V_Polygon 70.2 (Vorvermarktung abgebrochen),Pankow,Prenzlauer Berg
SCHNEIDER Grundbesitz GmbH & Co.KG,V_Polygon 70.2 (Vorvermarktung abgebrochen),,10407,Danziger Straße 146,35,,35,4,2,,SCHNEIDER Grundbesitz GmbH & Co.KG - V_Polygon 70.2 - 71 (A1) - verloren,V_Polygon 70.2 (Vorvermarktung abgebrochen),Pankow,Prenzlauer Berg
SCHNEIDER Grundbesitz GmbH & Co.KG,V_Polygon 70.2 (Vorvermarktung abgebrochen),,10407,Danziger Straße 120,15,,15,3,2,,SCHNEIDER Grundbesitz GmbH & Co.KG - V_Polygon 70.2 - 71 (A1) - verloren,V_Polygon 70.2 (Vorvermarktung abgebrochen),Pankow,Prenzlauer Berg
SCHNEIDER Grundbesitz GmbH & Co.KG,V_Polygon 139.5,,12055,Böhmische Straße 43,14,,13,0,2,,SCHNEIDER Grundbesitz GmbH & Co.KG - V_Polygon 139.3 - 144 (A1) - verloren,V_Polygon 139.5,Neukölln,Neukölln
SCHNEIDER Grundbesitz GmbH & Co.KG,V_Polygon 139.5,,12055,Böhmische Straße 15,16,,13,1,1,,SCHNEIDER Grundbesitz GmbH & Co.KG - V_Polygon 139.3 - 144 (A1) - verloren,V_Polygon 139.5,Neukölln,Neukölln
SCHNEIDER Grundbesitz GmbH & Co.KG,V_Polygon 139.5,,12055,Böhmische Straße 15A,12,,13,0,1,,SCHNEIDER Grundbesitz GmbH & Co.KG - V_Polygon 139.3 - 144 (A1) - verloren,V_Polygon 139.5,Neukölln,Neukölln
SCHNEIDER Grundbesitz GmbH & Co.KG,V_Polygon 139.5,,12055,Böhmische Straße 14,11,,13,0,1,,SCHNEIDER Grundbesitz GmbH & Co.KG - V_Polygon 139.3 - 144 (A1) - verloren,V_Polygon 139.5,Neukölln,Neukölln
SCHNEIDER Grundbesitz GmbH & Co.KG,V_Polygon 139.5,,12055,Schudomastraße 49,11,,14,0,1,,SCHNEIDER Grundbesitz GmbH & Co.KG - V_Polygon 139.3 - 144 (A1) - verloren,V_Polygon 139.5,Neukölln,Neukölln
SCHNEIDER Grundbesitz GmbH & Co.KG,V_Polygon 139.5,,12055,Schudomastraße 48,20,,13,0,1,,SCHNEIDER Grundbesitz GmbH & Co.KG - V_Polygon 139.3 - 144 (A1) - verloren,V_Polygon 139.5,Neukölln,Neukölln
SCHNEIDER Grundbesitz GmbH & Co.KG,V_Polygon 139.5,,12055,Schudomastraße 47,0,15,,0,,,SCHNEIDER Grundbesitz GmbH & Co.KG - V_Polygon 139.3 - 144 (A1) - verloren,V_Polygon 139.5,Neukölln,Neukölln
SCHNEIDER Grundbesitz GmbH & Co.KG,V_Polygon 139.4,,12049,Weisestraße 60,17,,13,1,1,,SCHNEIDER Grundbesitz GmbH & Co.KG - V_Polygon 139.4 - 60 (A1) - verloren,V_Polygon 139.4,Neukölln,Neukölln
SCHNEIDER Grundbesitz GmbH & Co.KG,V_Polygon 139.4,,12049,Leinestraße 5,20,,30,0,2,,SCHNEIDER Grundbesitz GmbH & Co.KG - V_Polygon 139.4 - 60 (A1) - verloren,V_Polygon 139.4,Neukölln,Neukölln
SCHNEIDER Grundbesitz GmbH & Co.KG,V_Polygon 139.4,,12049,Selchower Straße 6,14,,13,0,1,,SCHNEIDER Grundbesitz GmbH & Co.KG - V_Polygon 139.4 - 60 (A1) - verloren,V_Polygon 139.4,Neukölln,Neukölln
SCHNEIDER Grundbesitz GmbH & Co.KG,V_Polygon 139.3,,12043,Richardstraße 17,15,,19,0,0,,SCHNEIDER Grundbesitz GmbH & Co.KG - V_Polygon 139.3 - 144 (A1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
SCHNEIDER Grundbesitz GmbH & Co.KG,V_Polygon 139.1,,12435,Karl-Kunger-Straße 8,33,52,41,1,0,,SCHNEIDER Grundbesitz GmbH & Co.KG - V_Polygon 139.1 – 41 (M1)- verloren,V_Polygon 139.1,Treptow-Köpenick,Alt-Treptow
Schönebeck Immobilienverwaltungsgesellschaft mbH,V_Polygon 24.1,,10785,Potsdamer Straße 105,8,15,5,9,15,4,Peter Schönebeck Hausverwaltung - V_Polygon 24.1 (A1) - verloren,V_Polygon 24.1,Mitte,Tiergarten
Schönstadt Haus- und Grundstücksverwaltung GmbH,V_Polygon 2.2,,10715,Babelsberger Straße 1A,2,14,14,0,3,,Schönstadt Haus- und Grundstücksverwaltung GmbH - V_Polygon 2.2 (M1) -28 - verloren,V_Polygon 2.2,Charlottenburg-Wilmersdorf,Wilmersdorf
Schönstadt Haus- und Grundstücksverwaltung GmbH,V_Polygon 2.2,ABZ V,10715,Berliner Straße 161,17,18,15,3,3,2,Schönstadt Haus- und Grundstücksverwaltung GmbH - V_Polygon 2.2 (M1) -28 - verloren,V_Polygon 2.2,Charlottenburg-Wilmersdorf,Wilmersdorf
Schönstadt Haus- und Grundstücksverwaltung GmbH,V_Polygon 2.2,ABZ V,10715,Babelsberger Straße 1,2,13,14,1,3,,Schönstadt Haus- und Grundstücksverwaltung GmbH - V_Polygon 2.2 (M1) -28 - verloren,V_Polygon 2.2,Charlottenburg-Wilmersdorf,Wilmersdorf
schwedter str 50 gbr,V_Polygon 76.1,,10435,Schwedter Straße 50,14,14,,3,,,schwedter str 50 gbr - V_Polygon 76.1 - 14 (A1) - verloren,V_Polygon 76.1,Pankow,Prenzlauer Berg
Selbstbaugenossenschaft Berlin eG,V_Polygon 139.3,,12045,Laubestraße 2,14,,10,0,0,,Selbstbaugenossenschaft Berlin eG - V_Polygon 139.3 - 10 (A1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
"Seniorenzentrum Lichtenberg ""Prof. Dr. Kurt Winter""",Polygon Fennpfuhl,ABZ V,10367,Josef-Orlopp-Straße 13,52,1,,1,,,"Seniorenzentrum Lichtenberg ""Prof. Dr. Kurt Winter"" -  Polygon Fennpfuhl (M1) - verloren",Polygon Fennpfuhl,Lichtenberg,Fennpfuhl
Senst Hausverwaltung GmbH & Co KG,V_Polygon 2.2,,10825,Innsbrucker Straße 5,23,10,,2,,,Senst Hausverwaltung GmbH & Co KG - V_Polygon 2.2 - verloren,V_Polygon 2.2,Tempelhof-Schöneberg,Schöneberg
Senst Hausverwaltung GmbH & Co KG,V_Polygon 2.2,,10825,Innsbrucker Straße 4,23,21,,3,,,Senst Hausverwaltung GmbH & Co KG - V_Polygon 2.2 - verloren,V_Polygon 2.2,Tempelhof-Schöneberg,Schöneberg
SEPTEM Immobilienverwaltung und Vermittlung,V_Polygon 6.1-3 (Ausdehnung),,14057,Rönnestraße 26,15,22,,1,,,SEPTEM Immobilienverwaltung und Vermittlung -  V_Polygon 6.1-3 (Ausdehnung) - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
Severin Verwaltungs-GmbH & Co.KG,Cluster 04,ABZ III,10709,Kurfürstendamm 152,28,40,40,13,,,Severin Verwaltungs-GmbH & Co.KG - Cluster 04 - 40 (M1) - verloren,Cluster 04,Charlottenburg-Wilmersdorf,Halensee
Sigrid Ströhlein MEG Hausverwaltung,V_Polygon 80.1-2 (Ausdehnung),,10551,Oldenburger Straße 22,23,35,35,3,0,,Sigrid Ströhlein MEG Hausverwaltung - V_Polygon 80.2 - 35 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Sigrid Ströhlein MEG Hausverwaltung,V_Polygon 22.8,ABZ IV,12161,Südwestkorso 15A,11,10,10,0,0,,Sigrid Ströhlein MEG Hausverwaltung - Cluster 22 - 10 (A1) - verloren,V_Polygon 22.8,Tempelhof-Schöneberg,Friedenau
Sigrid Ströhlein MEG Hausverwaltung,V_Polygon 22.4,ABZ IV,12163,Schloßstraße 119,12,22,22,7,0,,Sigrid Ströhlein MEG Hausverwaltung - Cluster 64 - 26 (A1) - verloren,V_Polygon 22.4,Steglitz-Zehlendorf,Steglitz
Sigrid Ströhlein MEG Hausverwaltung,V_Polygon 22.4,ABZ IV,12159,Wielandstraße 26,4,4,4,0,0,,Sigrid Ströhlein MEG Hausverwaltung - Cluster 64 - 26 (A1) - verloren,V_Polygon 22.4,Tempelhof-Schöneberg,Schöneberg
Sigrid Ströhlein MEG Hausverwaltung,V_Polygon 2.2,ABZ III,10825,Meraner Straße 9,25,27,27,1,0,,Sigrid Ströhlein MEG Hausverwaltung - Cluster 02 WEG - verloren,V_Polygon 2.2,Tempelhof-Schöneberg,Schöneberg
Sigrid Ströhlein MEG Hausverwaltung,Cluster 83,ABZ III,10587,Galvanistraße 7,24,19,19,3,0,0,Sigrid Ströhlein MEG Hausverwaltung - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Sigrid Ströhlein MEG Hausverwaltung,Cluster 83,ABZ III,10587,Galvanistraße 9,10,8,8,0,0,0,Sigrid Ströhlein MEG Hausverwaltung - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Sigrid Ströhlein MEG Hausverwaltung,Cluster 83,ABZ III,10587,Galvanistraße 8,19,20,20,2,0,0,Sigrid Ströhlein MEG Hausverwaltung - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Silvia Stein Rechtsanwältin,V_Polygon 6.1-3 (Ausdehnung),,14057,Suarezstraße 36,4,8,8,0,0,0,SILVIA STEIN RECHTSANWÄLTIN - V_Polygon 6.2 - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
Silvia Stein Rechtsanwältin,V_Polygon 6.1-3 (Ausdehnung),,14057,Suarezstraße 35,19,8,8,0,0,0,SILVIA STEIN RECHTSANWÄLTIN - V_Polygon 6.2 - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
Silvia Stein Rechtsanwältin,V_Polygon 6.1-3 (Ausdehnung),,14057,Rönnestraße 28,19,7,7,1,0,0,SILVIA STEIN RECHTSANWÄLTIN - V_Polygon 6.2 - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
Sommer und Sommer Hausverwaltung,Polygon 6.0,,14057,Friedbergstraße 17,23,21,,1,,1,Sommer und Sommer Hausverwaltung - Polygon 6.0 - verloren,Polygon 6.0,Charlottenburg-Wilmersdorf,Charlottenburg
SRB Grundbesitz GmbH & Co. KG,Cluster 83,ABZ III,10587,Röntgenstraße 2,30,30,,1,,2,SRB Grundbesitz GmbH & Co. KG - Cluster 83 - 32 (S1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Stadtboden Grundstücks GmbH,V_Polygon 139.1-5 (Ausdehnung),,12051,Warthestraße 60,34,,36,2,2,,Stadtboden Grundstücks GmbH & Co. Betriebs KG - V_Polygon 139.5 (A1) - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
Stadtboden Grundstücks GmbH,Polygon 6.0,,14057,Rönnestraße 17A,22,16,16,0,0,,Stadtboden Grundstücks GmbH & Co. Betriebs KG - V_Polygon 6.2 (A1) - verloren,Polygon 6.0,Charlottenburg-Wilmersdorf,Charlottenburg
Stadtboden Grundstücks GmbH,Polygon 6.0,,14057,Rönnestraße 17,20,16,16,0,0,,Stadtboden Grundstücks GmbH & Co. Betriebs KG - V_Polygon 6.2 (A1) - verloren,Polygon 6.0,Charlottenburg-Wilmersdorf,Charlottenburg
Stadtboden Grundstücks GmbH,Polygon 6.0,,14057,Rönnestraße 16,22,16,16,0,0,,Stadtboden Grundstücks GmbH & Co. Betriebs KG - V_Polygon 6.2 (A1) - verloren,Polygon 6.0,Charlottenburg-Wilmersdorf,Charlottenburg
Stadtboden Grundstücks GmbH,Cluster 05,ABZ III,10717,Gasteiner Straße 31,40,33,33,3,3,,Stadtboden Grundstücks GmbH - Cluster 0005 - (N1) - verloren,Cluster 05,Charlottenburg-Wilmersdorf,Wilmersdorf
STANG Immobilienmanagement GmbH,V_Polygon 80.1,,10557,Calvinstraße 21,6,,24,0,,,STANG Immobilienmanagement GmbH - V_Polygon 80.1 - verloren,V_Polygon 80.1,Mitte,Moabit
Stech Immobilienmanagement GmbH,V_Polygon 80.2,,10555,Agricolastraße 23,0,26,26,0,0,,Stech Immobilienmanagement GmbH - V_Polygon 80.2 - 26 (A1) - verloren,V_Polygon 80.2,Mitte,Moabit
Stech Immobilienmanagement GmbH,V_Polygon 80.2,,10555,Agricolastraße 23A,7,12,,0,,,Stech Immobilienmanagement GmbH - V_Polygon 80.2 - 26 (A1) - verloren,V_Polygon 80.2,Mitte,Moabit
Stefanie Alschwee Immobilien,V_Polygon 70.2 (Vorvermarktung abgebrochen),,10407,Danziger Straße 126,7,12,8,2,2,,Stefanie Alschwee Immobilien - V_Polygon 70.2 - verloren,V_Polygon 70.2 (Vorvermarktung abgebrochen),Pankow,Prenzlauer Berg
Steinke Albrecht Mitzkait GbR,V_Polygon 80.2,,10551,Wilhelmshavener Straße 14,19,25,,1,,,Steinke Albrecht Mitzkait GbR - V_Polygon 80.2 (A1) - verloren,V_Polygon 80.2,Mitte,Moabit
Stephanie Saurbier Immobilien Hausverwaltung,Cluster 22,,12159,Isoldestraße 10,9,14,12,2,0,3,Stephanie Saurbier Immobilien Hausverwaltung - Cluster 22 - 17 (A1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
Stephan Moll Hausverwaltung,V_Polygon 139.4,,12049,Weisestraße 62,16,21,21,1,0,0,Stephan Moll Hausverwaltung - V_Polygon 139.4 - 21 (A1) - verloren,V_Polygon 139.4,Neukölln,Neukölln
Stephan Moll Hausverwaltung,V_Polygon 139.3,,12059,Stuttgarter Straße 44,38,28,28,0,0,0,Stephan Moll Hausverwaltung - V_Polygon 139.2 - 56 (A1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
Stephan Moll Hausverwaltung,V_Polygon 139.3,,12059,Weserstraße 88,16,28,28,1,0,0,Stephan Moll Hausverwaltung - V_Polygon 139.2 - 56 (A1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
Südhausbau Berlin GmbH,V_Polygon 80.1-2 (Ausdehnung),,10551,Bredowstraße 19,19,23,,0,,,Südhausbau Berlin GmbH - V_Polygon 80.2 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Südhausbau Berlin GmbH,V_Polygon 76.1,,10435,Wolliner Straße 61,12,12,,0,,,Südhausbau Berlin GmbH - V_Polygon 76.1 - verloren,V_Polygon 76.1,Mitte,Mitte
Südhausbau Berlin GmbH,V_Polygon 76.1,,10435,Wolliner Straße 60,12,12,,1,,1,Südhausbau Berlin GmbH - V_Polygon 76.1 - verloren,V_Polygon 76.1,Mitte,Mitte
Südhausbau Berlin GmbH,V_Polygon 76.1,,10435,Granseer Straße 10,24,24,,0,,,Südhausbau Berlin GmbH - V_Polygon 76.1 - verloren,V_Polygon 76.1,Mitte,Mitte
Südhausbau Berlin GmbH,V_Polygon 139.1-5 (Ausdehnung),,12051,Warthestraße 56,23,35,19,1,1,1,Südhausbau Berlin GmbH - V_POLYGON 139.5 - 76 (S1) - WEG - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
Südhausbau Berlin GmbH,V_Polygon 139.1-5 (Ausdehnung),,12051,Warthestraße 55,18,16,18,1,0,,Südhausbau Berlin GmbH - V_POLYGON 139.5 - 76 (S1) - WEG - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
Südhausbau Berlin GmbH,V_Polygon 139.1-5 (Ausdehnung),,12051,Warthestraße 54,37,24,19,3,1,,Südhausbau Berlin GmbH - V_POLYGON 139.5 - 76 (S1) - WEG - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
Suleika Hiller Hausverwaltung,V_Polygon 80.1,,10559,Havelberger Straße 26,25,42,,0,,,Suleika Hiller Hausverwaltung - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1,Mitte,Moabit
SWS Immobilien Service GmbH,V_Polygon 2.5,ABZ IV,10823,Apostel-Paulus-Straße 4,10,12,,0,,,SWS Immobilien Service GmbH - V_Polygon 2.5 - verloren,V_Polygon 2.5,Tempelhof-Schöneberg,Schöneberg
Szloma-Albam-Stiftung,V_Polygon 2.5,ABZ IV,10823,Apostel-Paulus-Straße 30,12,14,14,0,2,2,Szloma-Albam-Stiftung - Cluster 02 - 33 - verloren,V_Polygon 2.5,Tempelhof-Schöneberg,Schöneberg
Szloma-Albam-Stiftung,V_Polygon 2.5,ABZ IV,10823,Eisenacher Straße 47,11,15,15,1,2,2,Szloma-Albam-Stiftung - Cluster 02 - 33 - verloren,V_Polygon 2.5,Tempelhof-Schöneberg,Schöneberg
Tarkus Gebäudemanagement GmbH,V_Polygon 80.1-2 (Ausdehnung),,10551,Emdener Straße 8,22,40,35,0,0,,Tarkus Gebäudemanagement GmbH - V_Polygon 80.2 - 35 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Tarkus Gebäudemanagement GmbH,V_Polygon 76.1,,10435,Swinemünder Straße 16,12,12,12,0,0,,Tarkus Gebäudemanagement GmbH - V_Polygon 76.1 - 12 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
Tarkus Gebäudemanagement GmbH,V_Polygon 139.5,,12055,Braunschweiger Straße 16,19,,34,2,0,,Tarkus Gebäudemanagement GmbH - V_Polygon 139.3 - 68 (A1) - verloren,V_Polygon 139.5,Neukölln,Neukölln
Tarkus Gebäudemanagement GmbH,V_Polygon 139.5,,12055,Schudomastraße 35,15,,34,0,0,,Tarkus Gebäudemanagement GmbH - V_Polygon 139.3 - 68 (A1) - verloren,V_Polygon 139.5,Neukölln,Neukölln
Tarkus Gebäudemanagement GmbH,V_Polygon 139.1-5 (Ausdehnung),,12053,Kienitzer Straße 3,4,,9,0,0,,Tarkus Gebäudemanagement GmbH - V_Polygon 139.4 - 9 (A1) - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
Tarkus Gebäudemanagement GmbH,Polygon 1.2,ABZ IV,10781,Winterfeldtstraße 79,21,,15,2,0,,Tarkus Gebäudemanagement GmbH - 0001 - verloren,Polygon 1.2,Tempelhof-Schöneberg,Schöneberg
Tarkus Gebäudemanagement GmbH,Cluster 21,,14193,Hubertusallee 46,0,6,6,0,0,,Tarkus Gebäudemanagement GmbH - Cluster 21 - 6 - verloren,Cluster 21,Charlottenburg-Wilmersdorf,Grunewald
TEGA PRIME IMMOBILIENMANAGEMENT GMBH,V_Polygon 80.1-2 (Ausdehnung),,10559,Rathenower Straße 45,34,35,35,3,0,0,TEGA PRIME IMMOBILIENMANAGEMENT GMBH - V_Polygon 80.1 - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
